id,name,sku,price,regular_price,sale_price,currency,in_stock,categories,permalink,short_description,description,images,local_images
5866,3 Piece Applique Work Dress,,3900.0,5000.0,3900.0,PKR,True,Handmade Applique Dresses | Embroidered Dresses,https://sindhhandicrafts.com/product/applic-dress-design/,,"Applic Dress Design for Women Unstitched Handmade Material : Soft Cotton (Shirt, Trouser) Chiffon (Dupatta) 3 Piece. Kameez, Shalwar and Dupatta. Size Dupatta 2.5 yards Shalwar 2.5 yards Kameez 2.5 yards Disclaimer– Due to differences in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen",https://sindhhandicrafts.com/wp-content/uploads/2025/04/Applique-Work-Dress-24.jpg?v=1767448611,
6886,Heavy Embroidered Phulkari Dupatta,,3200.0,4500.0,3200.0,PKR,True,Embroidered Phulkari Dupatta,https://sindhhandicrafts.com/product/phulkari-embroidered-dupatta/,,"Unique Phulkari Embroidered Dupatta Size LxW Approx: 8 ft × 3.25 ft Fully Embroidered Dupatta Sequins & Thread Work Fabric: Cotton Silk Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/08/Heavy-Embroidered-Phulkari-Dupatta-8.jpg?v=1756284289,
6862,Handmade Phulkari Dupatta,,2950.0,4000.0,2950.0,PKR,False,Embroidered Phulkari Dupatta,https://sindhhandicrafts.com/product/black-phulkari-dupatta/,,"Classic Black Phulkari Dupatta Size LxW Approx: 8 ft × 3.25 ft Hand Embroidered Dupatta Sequins & Thread Work Fabric: Chiffon Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/08/Handmade-Phulkari-Dupatta-13a.jpg?v=1766209269 | https://sindhhandicrafts.com/wp-content/uploads/2025/08/Handmade-Phulkari-Dupatta-13b.jpg?v=1766209273,
6051,Heavy Embroidered Phulkari Dupatta,,3200.0,4500.0,3200.0,PKR,True,Embroidered Phulkari Dupatta,https://sindhhandicrafts.com/product/phulkari-dupatta-online-sale/,,"Phulkari Dupatta Online Sale in Pakistan Size LxW Approx: 8 ft × 3.25 ft Fully Embroidered Dupatta Sequins & Thread Work Fabric: Cotton Silk Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Heavy-Embroidered-Phulkari-Dupatta-1.jpg?v=1746096963,
6050,Heavy Embroidered Phulkari Dupatta,,3200.0,4500.0,3200.0,PKR,True,Embroidered Phulkari Dupatta,https://sindhhandicrafts.com/product/phulkari-dupatta-for-wedding/,,"Perfect Phulkari Dupatta For Wedding Size LxW Approx: 8 ft × 3.25 ft Fully Embroidered Dupatta Sequins & Thread Work Fabric: Cotton Silk Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Heavy-Embroidered-Phulkari-Dupatta-5.jpg?v=1756112627,
6049,Heavy Embroidered Phulkari Dupatta,,3200.0,4500.0,3200.0,PKR,False,Embroidered Phulkari Dupatta,https://sindhhandicrafts.com/product/sindhi-phulkari-dupatta/,,"Sindhi Phulkari Dupatta Size LxW Approx: 8 ft × 3.25 ft Fully Embroidered Dupatta Sequins & Thread Work Fabric: Cotton Silk Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Heavy-Embroidered-Phulkari-Dupatta-6.jpg?v=1756112633,
6048,Heavy Embroidered Phulkari Dupatta,,3200.0,4500.0,3200.0,PKR,True,Embroidered Phulkari Dupatta,https://sindhhandicrafts.com/product/heavy-embroidered-phulkari-dupatta/,,"Heavy Embroidered Phulkari Dupatta Size LxW Approx: 8 ft × 3.25 ft Fully Embroidered Dupatta Sequins & Thread Work Fabric: Cotton Silk Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Heavy-Embroidered-Phulkari-Dupatta-7.jpg?v=1756112638,
6042,Embroidered Phulkari Dupatta,,2950.0,4000.0,2950.0,PKR,True,Embroidered Phulkari Dupatta,https://sindhhandicrafts.com/product/best-phulkari-dupatta/,,"Best Phulkari Dupatta Online Size LxW Approx: 8 ft × 3.25 ft Machine Embroidered Jaal Work Fabric: Organza Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Phulkari-Dupatta-24.jpg?v=1746090786,
6035,Handmade Phulkari Dupatta,,2950.0,4000.0,2950.0,PKR,True,Embroidered Phulkari Dupatta,https://sindhhandicrafts.com/product/phulkari-wala-dupatta/,,"Phulkari Wala Dupatta with Best Embroidery Size LxW Approx: 8 ft × 3.25 ft Hand Embroidered Dupatta Sequins & Thread Work Fabric: Chiffon Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Handmade-Phulkari-Dupatta-5a.jpg?v=1746090219 | https://sindhhandicrafts.com/wp-content/uploads/2025/05/Handmade-Phulkari-Dupatta-5b.jpg?v=1746090224,
6034,Handmade Phulkari Dupatta,,2950.0,4000.0,2950.0,PKR,True,Embroidered Phulkari Dupatta,https://sindhhandicrafts.com/product/phulkari-dupatta-price/,,"Hand Embroidered Phulkari Dupatta at the Best Price Size LxW Approx: 8 ft × 3.25 ft Hand Embroidered Dupatta Sequins & Thread Work Fabric: Chiffon Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Handmade-Phulkari-Dupatta-6a.jpg?v=1746090228 | https://sindhhandicrafts.com/wp-content/uploads/2025/05/Handmade-Phulkari-Dupatta-6b.jpg?v=1746090232,
